energy_kev,rate_per_kev_kg_day
1.0,4.54682039904837e-06
1.0990990990990992,4.5231897502980536e-06
1.1981981981981982,4.499669712205603e-06
1.2972972972972974,4.476259814425529e-06
1.3963963963963963,4.45295958844495e-06
1.4954954954954955,4.429768567577136e-06
1.5945945945945947,4.406686286954895e-06
1.6936936936936937,4.383712283524008e-06
1.7927927927927927,4.360846096036827e-06
1.8918918918918919,4.338087265045599e-06
1.990990990990991,4.3154353328961245e-06
2.09009009009009,4.292889843721297e-06
2.1891891891891895,4.270450343434594e-06
2.288288288288288,4.248116379723733e-06
2.3873873873873874,4.225887502044278e-06
2.4864864864864864,4.203763261613247e-06
2.5855855855855854,4.181743211402765e-06
2.684684684684685,4.159826906133771e-06
2.7837837837837838,4.138013902269674e-06
2.8828828828828827,4.116303758010093e-06
2.981981981981982,4.094696033284626e-06
3.081081081081081,4.073190289746526e-06
3.18018018018018,4.051786090766521e-06
3.279279279279279,4.030483001426687e-06
3.3783783783783785,4.009280588514135e-06
3.4774774774774775,3.98817842051496e-06
3.5765765765765765,3.967176067608041e-06
3.675675675675676,3.946273101658958e-06
3.774774774774775,3.9254690962138755e-06
3.873873873873874,3.904763626493485e-06
3.972972972972973,3.884156269386928e-06
4.072072072072072,3.863646603445768e-06
4.171171171171171,3.843234208877978e-06
4.27027027027027,3.822918667541926e-06
4.36936936936937,3.8026995629404458e-06
4.468468468468469,3.782576480214829e-06
4.5675675675675675,3.76254900613891e-06
4.666666666666666,3.7426167291131674e-06
4.7657657657657655,3.722779239158781e-06
4.864864864864865,3.7030361279118024e-06
4.963963963963964,3.6833869886172935e-06
5.063063063063063,3.663831416123449e-06
5.162162162162162,3.6443690068758306e-06
5.261261261261262,3.624999358911527e-06
5.36036036036036,3.6057220718534032e-06
5.45945945945946,3.586536746904321e-06
5.558558558558558,3.56744298684142e-06
5.657657657657658,3.5484403960103785e-06
5.756756756756757,3.5295285803197212e-06
5.8558558558558556,3.5107071472351265e-06
5.954954954954955,3.4919757057737896e-06
6.054054054054054,3.4733338664987433e-06
6.153153153153153,3.45478124151326e-06
6.252252252252252,3.436317444455214e-06
6.351351351351352,3.4179420904915484e-06
6.45045045045045,3.399654796312645e-06
6.54954954954955,3.381455180126806e-06
6.648648648648649,3.3633428616547323e-06
6.747747747747748,3.3453174621239823e-06
6.846846846846847,3.327378604263494e-06
6.945945945945946,3.309525912298116e-06
7.045045045045045,3.2917590119431293e-06
7.1441441441441444,3.2740775303988324e-06
7.243243243243243,3.2564810963451017e-06
7.342342342342342,3.2389693399359935e-06
7.441441441441442,3.221541892794372e-06
7.54054054054054,3.204198388006533e-06
7.63963963963964,3.186938460116848e-06
7.738738738738739,3.1697617451224523e-06
7.837837837837838,3.1526678804679246e-06
7.936936936936937,3.135656505039988e-06
8.036036036036036,3.1187272591622447e-06
8.135135135135135,3.1018797845899075e-06
8.234234234234235,3.0851137245045683e-06
8.333333333333332,3.0684287235089705e-06
8.432432432432432,3.051824427621799e-06
8.531531531531531,3.0353004842725096e-06
8.63063063063063,3.0188565422961385e-06
8.72972972972973,3.00249225192816e-06
8.82882882882883,2.9862072647993577e-06
8.927927927927929,2.9700012339306945e-06
9.027027027027026,2.9538738137282175e-06
9.126126126126126,2.9378246599779815e-06
9.225225225225225,2.921853429840968e-06
9.324324324324325,2.905959781848054e-06
9.423423423423424,2.8901433758949652e-06
9.522522522522523,2.8744038732372738e-06
9.621621621621621,2.858740936485398e-06
9.72072072072072,2.843154229599607e-06
9.81981981981982,2.827643417885085e-06
9.91891891891892,2.8122081679869586e-06
10.018018018018019,2.796848147885379e-06
10.117117117117116,2.781563026890611e-06
10.216216216216216,2.766352475638131e-06
10.315315315315315,2.7512161660837453e-06
10.414414414414415,2.736153771498732e-06
10.513513513513514,2.721164966464995e-06
10.612612612612613,2.7062494268702276e-06
10.711711711711711,2.6914068299031017e-06
10.81081081081081,2.6766368540484757e-06
10.90990990990991,2.6619391790825965e-06
11.00900900900901,2.6473134860683594e-06
11.108108108108109,2.6327594573505393e-06
11.207207207207206,2.618276776551064e-06
11.306306306306306,2.603865128564304e-06
11.405405405405405,2.5895241995523597e-06
11.504504504504505,2.5752536769403927e-06
11.603603603603604,2.5610532494119406e-06
11.702702702702704,2.5469226069042777e-06
11.801801801801801,2.5328614406037763e-06
11.9009009009009,2.518869442941275e-06
12.0,2.504946307587489e-06
12.0990990990991,2.4910917294484118e-06
12.198198198198199,2.4773054046607447e-06
12.297297297297298,2.4635870305873333e-06
12.396396396396396,2.449936305812636e-06
12.495495495495495,2.4363529301381848e-06
12.594594594594595,2.422836604578084e-06
12.693693693693694,2.4093870313545064e-06
12.792792792792794,2.396003913893219e-06
12.891891891891891,2.3826869568191137e-06
12.99099099099099,2.3694358659517577e-06
13.09009009009009,2.35625034830096e-06
13.18918918918919,2.343130112062351e-06
13.288288288288289,2.330074866612979e-06
13.387387387387388,2.3170843225069178e-06
13.486486486486486,2.304158191470899e-06
13.585585585585585,2.291296186399944e-06
13.684684684684685,2.2784980213530236e-06
13.783783783783784,2.2657634115487316e-06
13.882882882882884,2.253092073360965e-06
13.981981981981981,2.2404837243146285e-06
14.08108108108108,2.2279380830813423e-06
14.18018018018018,2.215454869475184e-06
14.27927927927928,2.2030338044484194e-06
14.378378378378379,2.190674610087267e-06
14.477477477477478,2.1783770096076772e-06
14.576576576576576,2.1661407273511095e-06
14.675675675675675,2.1539654887803416e-06
14.774774774774775,2.1418510204752875e-06
14.873873873873874,2.1297970501288236e-06
14.972972972972974,2.1178033065426366e-06
