0.0	720.6
0.25	678.980076073
0.5	639.907571421
0.75	603.225595419
1.0	568.786926233
1.25	536.453414918
1.5	506.095426244
1.75	477.591313977
2.0	450.826928505
2.25	425.695154815
2.5	402.095478932
2.75	379.933581096
3.0	359.120953994
3.25	339.57454454
3.5	321.216417716
3.75	303.973441145
4.0	287.776989093
4.25	272.562664723
4.5	258.27003946
4.75	244.842408426
5.0	232.226560941
5.25	220.372565175
5.5	209.233566069
5.75	198.76559571
6.0	188.927395395
6.25	179.680248661
6.5	170.987824602
6.75	162.816030851
7.0	155.132875615
7.25	147.908338214
7.5	141.114247607
7.75	134.724168392
8.0	128.713293843
8.25	123.058345534
8.5	117.737479147
8.75	112.730196096
9.0	108.017260583
9.25	103.580621776
9.5	99.4033407833
9.75	95.4695221208
10.0	91.7642494125
10.25	88.2735250475
10.5	84.9842135585
10.75	81.8839884897
11.0	78.9612825392
11.25	76.2052407739
11.5	73.6056767287
11.75	71.1530312106
12.0	68.8383336418
12.25	66.6531657857
12.5	64.5896277084
12.75	62.6403058379
13.0	60.7982429917
13.25	59.0569102523
13.5	57.4101805752
13.75	55.8523040242
14.0	54.3778845324
14.25	52.981858096
14.5	51.6594723115
14.75	50.4062671744
15.0	49.2180570615
15.25	48.0909138228
15.5	47.0211509165
15.75	46.005308521
16.0	45.0401395649
16.25	44.1225966177
16.5	43.2498195888
16.75	42.4191241842
17.0	41.6279910747
17.25	40.874055732
17.5	40.155098891
17.75	39.4690375995
18.0	38.8139168205
18.25	38.1879015509
18.5	37.5892694266
18.75	37.0164037835
19.0	36.4677871454
19.25	35.9419951141
19.5	35.4376906354
19.75	34.9536186189
20.0	34.4886008888
20.25	34.0415314469
20.5	33.6113720264
20.75	33.1971479204
21.0	32.7979440673
21.25	32.4129013774
21.5	32.041213286
21.75	31.6821225187
22.0	31.3349180566
22.25	30.9989322874
22.5	30.6735383336
22.75	30.3581475439
23.0	30.0522071402
23.25	29.7551980092
23.5	29.4666326298
23.75	29.1860531291
24.0	28.9130294571
24.25	28.6471576749
24.5	28.3880583475
24.75	28.1353750365
25.0	27.8887728846
25.25	27.6479372889
25.5	27.4125726539
25.75	27.1824012234
26.0	26.9571619829
26.25	26.7366096304
26.5	26.5205136102
26.75	26.3086572066
27.0	26.100836693
27.25	25.8968605341
27.5	25.6965486363
27.75	25.4997316453
28.0	25.3062502863
28.25	25.115954745
28.5	24.9287040868
28.75	24.744365712
29.0	24.5628148439
29.25	24.3839340493
29.5	24.2076127878
29.75	24.0337469894
30.0	23.8622386575
30.25	23.6929954974
30.5	23.5259305663
30.75	23.3609619461
31.0	23.1980124356
31.25	23.0370092619
31.5	22.8778838097
31.75	22.720571367
32.0	22.5650108866
32.25	22.4111447624
32.5	22.2589186192
32.75	22.1082811158
33.0	21.9591837596
33.25	21.8115807338
33.5	21.6654287335
33.75	21.5206868138
34.0	21.3773162456
34.25	21.2352803813
34.5	21.0945445284
34.75	20.9550758312
35.0	20.8168431588
35.25	20.6798170015
35.5	20.5439693722
35.75	20.4092737148
36.0	20.2757048176
36.25	20.1432387325
36.5	20.0118526987
36.75	19.8815250718
37.0	19.7522352564
37.25	19.6239636432
37.5	19.4966915505
37.75	19.3704011685
38.0	19.2450755072
38.25	19.1206983479
38.5	18.9972541973
38.75	18.8747282445
39.0	18.7531063207
39.25	18.6323748615
39.5	18.5125208709
39.75	18.3935318887
40.0	18.2753959584
40.25	18.1581015982
40.5	18.0416377734
40.75	17.9259938706
41.0	17.8111596731
41.25	17.6971253383
41.5	17.583881376
41.75	17.4714186287
42.0	17.3597282523
42.25	17.2488016988
42.5	17.1386306992
42.75	17.0292072479
43.0	16.9205235886
43.25	16.8125721996
43.5	16.7053457817
43.75	16.5988372456
44.0	16.4930397003
44.25	16.387946443
44.5	16.2835509485
44.75	16.1798468598
45.0	16.0768279793
45.25	15.9744882607
45.5	15.8728218006
45.75	15.7718228316
46.0	15.6714857153
46.25	15.5718049355
46.5	15.4727750923
46.75	15.3743908966
47.0	15.276647164
47.25	15.1795388105
47.5	15.0830608473
47.75	14.9872083764
48.0	14.8919765862
48.25	14.797360748
48.5	14.7033562116
48.75	14.6099584024
49.0	14.5171628179
49.25	14.4249650243
49.5	14.333360654
49.75	14.2423454026
50.0	14.1519150264
50.25	14.0620653397
50.5	13.9727922131
50.75	13.8840915707
51.0	13.7959593884
51.25	13.7083916919
51.5	13.6213845547
51.75	13.5349340969
52.0	13.4490364831
52.25	13.363687921
52.5	13.2788846601
52.75	13.1946229901
53.0	13.11089924
53.25	13.0277097765
53.5	12.9450510032
53.75	12.8629193592
54.0	12.7813113183
54.25	12.7002233879
54.5	12.6196521084
54.75	12.5395940518
55.0	12.4600458214
55.25	12.3810040508
55.5	12.3024654029
55.75	12.22442657
56.0	12.1468842721
56.25	12.0698352571
56.5	11.9932762999
56.75	11.9172042018
57.0	11.8416157898
57.25	11.7665079167
57.5	11.6918774598
57.75	11.6177213212
58.0	11.5440364267
58.25	11.4708197259
58.5	11.3980681915
58.75	11.3257788189
59.0	11.2539486261
59.25	11.182574653
59.5	11.1116539616
59.75	11.0411836348
60.0	10.971160777
60.25	10.9015825133
60.5	10.8324459894
60.75	10.7637483712
61.0	10.6954868445
61.25	10.6276586151
61.5	10.5602609082
61.75	10.4932909681
62.0	10.4267460583
62.25	10.3606234613
62.5	10.2949204778
62.75	10.2296344274
63.0	10.1647626476
63.25	10.1003024939
63.5	10.0362513399
63.75	9.97260657661
64.0	9.9093656127
64.25	9.84652587409
64.5	9.78408480386
